290174	0
400931	0.2632439
824229	1.3885925
1315978	2.520756
1552281	2.9827752
1813427	4.2704907
2069771	4.9346232
2265913	5.5095946
3279457	8.3199912
3427299	8.7555092
4207452	11.053072
4330513	11.5034158
4900563	12.7486871
5334452	13.5212439
5891629	15.2552566
6528008	16.162512
7123630	17.3574061
7359421	18.2208468
8209329	23.1688627
8456601	24.7332215
8633204	26.117022
9136628	28.6310268
9924267	33.3142342
10358588	34.8393008
11748521	40.7850264
12276692	42.0560044
12785230	42.1680152
13495379	42.1680153
13495418	42.1680154
14104253	42.1680155
15522173	43.017538
15712057	45.575426
15913994	46.650308
16629399	48.1657984
17878794	53.8087577
18012938	54.5190356
18258898	55.4686102
18772306	58.8027543
19221428	60.945748
19458259	61.4593282
19737683	62.3237949
20266369	63.3806093
20809850	65.8774017
21142865	66.5533671
21399567	66.8551766
21678477	67.7722217
21899579	68.2389044
22221736	68.7877417
22446488	69.392685
22806789	69.6170489
23211977	71.8514328
