27343	0
508090	4.086943
1603469	9.149671
1917139	9.86375
2229415	10.662758
2287470	10.662758
2736279	11.68545
3162852	12.228026
4233682	14.27562
4448082	14.663602
5010563	16.262495
5535964	17.476184
6055546	18.870108
6519202	19.800515
7047330	20.762599
7340989	21.82104
7813295	23.450421
8427379	26.261577
9358168	31.154094
10488859	34.890893
10782718	35.399971
10934107	36.383115
11639432	36.383115
12578089	36.383115
13096724	36.383115
13211824	36.724272
13784419	38.327548
14139628	39.37166
14894827	42.240937
15282634	44.204468
15466566	44.929048
16583743	51.030519
16816665	51.708285
17115580	52.444829
17959456	55.277973
18089003	56.070218
18707445	58.842513
19320777	60.873849
19697188	61.345674
19723111	61.345674
20097401	62.252968
20300339	62.711928
21757545	68.265609
21901746	68.742918
22203115	69.854802
22280040	69.996995
23272788	73.161396
23447475	74.22347
23796622	74.522072
24757037	77.258861
25683652	79.749032
26783646	85.403382
