Position	Rate
218	0.045151
561	1.720753
570	7.7433885
572	1.4078888
583	0.2497867
645	0.9109869
662	3.8716943
666	1.2905648
678	0.9679236
694	7.7433885
696	0.2382581
761	5.162259
764	1.5486777
774	3.8716943
778	1.0324518
793	5.162259
796	1.4078888
807	0.0211568
1539	0.0832622
1725	0.1433961
1833	0.2121476
1906	0.0539609
2193	0.0399144
2581	0.1888631
2663	0.1012208
2816	0.0676278
3045	0.2311459
3112	0.0033449
7742	5.162259
7745	0.0992742
7901	0.052144
8198	3.0973554
8203	0.0921832
8371	3.8716943
8375	7.7433885
8377	0.5530992
8405	0.2382581
8470	7.7433885
8472	3.8716943
8476	0.0661828
8710	0.7743389
8730	0.0125196
9967	2.2123967
9974	0.1647529
10068	0.077823
10267	0.5162259
10297	0.0637316
10540	0.0255557
11146	0.2497867
11208	3.8716943
11212	0.0762895
11415	0.0455493
11755	0.0400175
12142	0.2922033
12195	0.0584407
12460	0.4185615
12497	0.1114157
12636	0.3871694
12676	0.2670134
12734	0.0113456
14099	0.0841673
14283	0.0974011
14442	0.1935847
14522	0.3601576
14565	0.3036623
14616	0.0139646
15725	0.1800788
15811	0.0496371
16123	0.0766672
16325	0.0197284
17110	0.0161826
18067	0.077823
18266	0.1613206
18362	0.0469296
18692	5.162259
18695	0.8603765
18713	0.0514511
19014	0.0034339
23524	0.0283122
24071	0.1323656
24188	0.078216
24386	2.5811295
24392	0.5530992
24420	0.0203506
25181	3.0973554
25186	0.3687328
25228	0.3295059
25275	0.1489113
25379	0.1518311
25481	0.0344151
25931	0.0167606
26855	0.0316703
27344	0.0409703
27722	0.5340268
27751	0.2538816
27812	0.0182843
28659	0.5340268
28688	15.486777
28689	15.486777
28690	2.2123967
28697	2.5811295
28703	0.6733381
28726	0.0400175
29113	15.486777
29114	3.0973554
29119	0.9109869
29136	3.8716943
29140	0.3366691
29186	1.1912905
29199	0.0224121
29890	1.1912905
29903	0.9679236
29919	15.486777
29920	0.7039444
29942	3.8716943
29946	0.6733381
29969	0.6194711
29994	0.3441506
30039	15.486777
30040	0.5735843
30067	0.0351174
30508	0.2037734
30584	0.0999147
30739	0.1053522
30886	0.0246605
31514	0.0099147
33076	0.0427812
33438	0.4424793
33473	0.1433961
33581	0.0421983
33948	0.0860377
34128	0.0389115
34526	0.2064904
34601	0.1701844
34692	0.0707159
34911	1.0324518
34926	0.130141
35045	0.2458219
35108	0.0363539
35534	2.5811295
35540	0.1018867
35692	0.4185615
35729	0.0584407
35994	0.0774339
36194	0.0026329
42076	0.4185615
42113	0.0766672
42315	0.0526761
42609	0.0393065
43003	0.0488542
43320	0.1025614
43471	0.078216
43669	0.0905659
43840	0.6452824
43864	0.1489113
43968	0.9679236
43984	0.9109869
44001	0.0172075
44901	0.1130422
45038	0.2922033
45091	0.0423136
45457	0.9679236
45473	1.9358471
45481	0.7743389
45501	0.5956453
45527	0.2624877
45586	5.162259
45589	0.4075468
45627	0.0810826
45818	0.3441506
45863	1.5486777
45873	1.1912905
45886	0.6452824
45910	2.5811295
45916	0.0679245
46144	0.6194711
46169	0.1596575
46266	0.8150935
46285	0.078216
46483	0.2037734
46559	0.0403301
46943	5.162259
46946	0.058662
47210	0.0342628
47662	0.3777263
47703	0.5735843
47730	0.2346481
47796	0.2419809
47860	5.162259
47863	0.2311459
47930	5.162259
47933	0.8150935
47952	1.5486777
47962	7.7433885
47964	2.5811295
47970	0.4554934
48004	5.162259
48007	0.2181236
48078	0.0980176
48236	0.4995735
48267	0.0354388
48704	0.0036681
52926	1.1912905
52939	1.2905648
52951	0.1200525
53080	1.4078888
53091	5.162259
53094	1.9358471
53102	15.486777
53103	1.9358471
53111	0.5956453
53137	2.5811295
53143	1.4078888
53154	0.0961912
53315	5.162259
53318	0.1865877
53401	0.5340268
53430	0.3097355
53480	0.7743389
53500	0.2458219
53563	2.5811295
53569	0.2624877
53628	0.2419809
53692	0.0208436
54435	0.0034693
58899	0.3295059
58946	0.0676278
59175	0.1548678
59275	0.2867922
59329	0.9109869
59346	0.1182197
59477	1.1912905
59490	1.2905648
59502	0.3519722
59546	0.8603765
59564	1.9358471
59572	0.2150941
59644	0.2867922
59698	0.1323656
59815	0.2419809
59879	0.7374656
59900	3.0973554
59905	0.0530369
60197	0.1147169
60332	1.4078888
60343	0.2716978
60400	0.6733381
60423	0.1420805
60532	3.0973554
60537	0.3687328
60579	3.0973554
60584	0.8603765
60602	0.112223
60740	0.1630187
60835	1.2905648
60847	15.486777
60848	7.7433885
60850	0.0759156
61054	0.0202707
61818	0.0541496
62104	3.0973554
62109	5.162259
62112	0.7743389
62132	0.0013628
73496	0.0238258
74146	0.0097524
75734	0.1447362
75841	0.0106074
77301	0.0177601
78173	0.3097355
78223	0.6452824
78247	1.720753
78256	0.5530992
78284	0.2458219
78347	0.0219359
79053	1.0324518
79068	0.112223
79206	0.0351972
79646	0.2150941
79718	0.0580029
79985	1.1912905
79998	0.2150941
80070	0.4185615
80107	0.8150935
80126	5.162259
80129	3.8716943
80133	0.0528559
80426	0.0395071
80818	0.0303662
81328	0.0323991
81806	0.025019
82425	0.0874959
82602	0.0100629
84141	0.018371
84984	0.0604952
85240	0.0082773
87111	0.0504455
87418	0.0549176
87700	0.0619471
87950	1.1912905
87963	0.0173424
88856	0.0178625
89723	0.1259088
89846	0.0149198
90884	4.5186941
90894	2.5517617
90926	6.7098139
90943	15.9923175
90952	2.6742434
91012	6.7666802
91037	0.1983402
91937	17.8506218
91947	8.9253109
91967	29.7510363
91973	59.5020726
91976	2.833432
92039	17.8506218
92049	2.9751036
92109	6.3752221
92137	178.5062178
92138	2.2037805
92219	89.2531089
92221	1.3945798
92349	11.9004145
92364	0.4734913
92741	0.2176905
93561	0.6514825
93835	0.8077204
94056	1.4280497
94181	1.940285
94273	0.33808
94801	3.7188795
94849	8.5002961
94870	1.7000592
94975	0.6176686
95264	178.5062178
95265	8.113919
95287	1.2482952
95430	0.8077204
95651	0.1310618
97013	7.4377591
97037	0.8623489
97244	1.062537
97412	0.9444773
97601	2.9254937
97662	4.5692211
97701	2.3001235
97778	2.5740586
97843	2.8538482
97889	1.6225932
97954	11.1511029
97962	6.4061249
97974	0.4785131
98107	7.8852311
98115	2.1535044
98144	62.2557468
98145	3.633347
98162	1.1199686
98217	1.619528
98255	7.6853059
98263	2.7778559
98285	0.0817882
99032	1.0182633
99092	0.4156177
99239	3.2155683
99258	5.5541634
99269	0.8369287
99342	20.3652657
99345	2.0365266
99375	20.3652657
99378	0.401946
99530	0.1013197
100133	0.2789762
100352	0.5709888
100459	0.2166518
100741	0.1379138
101184	1.4901414
101225	5.0913164
101237	0.3320424
101421	0.6788422
101511	0.4559388
101645	4.3639855
101659	1.0533758
101717	20.3652657
101720	0.0776313
102507	0.610958
102607	0.7187741
102692	7.6369746
102700	6.1095797
102710	1.5273949
102750	0.5931631
102853	30.5478985
102855	2.4438319
102880	3.0547899
102900	4.0730531
102915	1.1749192
102967	61.095797
102968	5.5541634
102979	0.7360939
103062	17.0608567
103065	2.6274026
103080	0.371615
103132	0.3360121
103156	0.0467717
103225	0.0075927
103334	0.0306519
103361	0.1034501
103369	0.2758671
103372	0.0250788
103405	0.0344834
103429	0.0919557
103438	0.0517251
103454	0.1182287
103461	0.0306519
103488	0.2069003
103492	0.1379335
103498	0.0919557
103507	0.0413801
103527	0.010345
103607	0.0229889
103643	0.0689668
103655	0.2069003
103659	0.0008012
104692	0.010476
104771	0.0081137
104873	0.016552
104923	0.8276012
104924	0.008532
105021	0.0024778
105355	0.0140271
105414	0.8276012
105415	0.0258625
105447	0.4138006
105449	0.0636616
105462	0.2069003
105466	0.2069003
105470	0.8276012
105471	0.2069003
105475	0.0394096
105496	0.1182287
105503	0.0827601
105513	0.0243412
