Position	Rate
5033	0.2813113
5273	0.7850549
5359	0.0561687
6561	0.5579729
6682	0.2184942
6991	0.7032783
7087	3.9714542
7104	0.3293401
7309	0.0756891
8201	3.5534064
8220	0.3097006
8438	67.5147214
8439	0.2103262
8760	2.0459006
8793	1.7311467
8832	67.5147214
8833	11.2524536
8839	0.4531189
8988	0.1584853
9414	0.0935107
10136	0.048156
11538	0.4412727
11691	0.1353
12190	0.1353
12689	0.0595893
13822	0.0109247
20002	0.5820235
20118	0.3971454
20288	1.0549175
20352	0.1040288
21001	2.1778942
21032	0.3082864
21251	0.2419882
21530	3.9714542
21547	0.9248592
21620	0.7106813
21715	0.1722314
22107	11.2524536
22113	9.6449602
22120	11.2524536
22126	4.8224801
22140	0.3154894
22354	0.3534802
22545	0.1347599
23046	1.2738627
23099	0.5489002
23222	0.5076295
23355	0.2428587
23633	0.0471472
25065	0.2520629
25258	0.1811037
25423	0.3508955
25462	0.0018981
26179	0.001565
26647	0.0043598
26815	0.0027432
27082	0.0072519
27183	0.0034713
27394	0.00285
27651	0.0013514
28193	0.0053856
28329	0.0031984
28558	0.002733
28826	9.71e-05
36370	0.0106151
36439	0.1046347
36446	0.0036992
36644	0.0332929
36666	0.0292977
36691	0.0010117
37415	0.0083232
37503	0.0170336
37546	0.0236272
37577	0.0915554
37585	0.0813825
37594	0.7324429
37595	0.0152592
37643	0.0054255
37778	0.003795
37971	0.0261587
37999	0.1831107
38003	0.0366221
38023	0.0077919
38117	0.0143616
38168	0.0114444
38232	0.0020122
38596	0.008617
38681	0.0106151
38750	0.0015992
39208	4.29e-05
56278	0.0154044
56374	0.0266305
56506	1.0153267
56512	0.0172303
57121	0.7104766
57164	0.1304357
57606	0.2080425
57888	0.2114597
58167	0.896437
58233	0.5350771
58344	0.5076372
58461	0.3010927
58659	2.8427231
58680	9.949531
58686	3.9798124
58701	0.1700775
59052	0.4775775
59177	5.4270169
59188	0.0656735
60097	11.9394372
60102	4.9747655
60114	14.9242965
60118	5.4270169
60129	1.3266041
60174	2.4873827
60198	4.9747655
60210	2.2960456
60236	0.0870221
60922	0.1542563
61309	0.2023633
61604	0.9327685
61668	0.9045028
61734	8.5281694
61741	2.4873827
61765	1.6582552
61801	8.5281694
61808	59.6971858
61809	2.8427231
61830	2.0585236
61859	59.6971858
61860	59.6971858
61861	2.5955298
61884	5.9697186
61894	29.8485929
61896	5.9697186
61906	1.8090056
61939	7.4621482
61947	5.4270169
61958	7.4621482
61966	7.4621482
61974	29.8485929
61976	19.8990619
61979	5.4270169
61990	5.4270169
62001	2.4873827
62025	8.5281694
62032	59.6971858
62033	3.9798124
62048	4.2640847
62062	2.8427231
62083	3.5115992
62100	3.1419571
62119	1.2701529
62166	19.8990619
62169	1.2436914
62217	1.1055034
62271	0.9628578
62333	1.7056339
62368	1.8655371
62400	1.2701529
62447	0.2926333
62651	0.2030517
62945	59.6971858
62946	19.8990619
62949	19.8990619
62952	7.4621482
62960	1.7056339
62995	0.8528169
63065	59.6971858
63066	7.4621482
63074	1.2977649
63120	2.3878874
63145	2.8427231
63166	1.7557996
63200	0.5969719
63300	0.8067187
63374	1.7056339
63409	6.6330206
